Date,20/05/2026,11/05/2026,01/05/2026,23/04/2026,16/04/2026,09/04/2026,31/03/2026,20/03/2026,13/03/2026,05/03/2026,25/02/2026,18/02/2026,09/02/2026,28/01/2026,12/01/2026,04/01/2026,27/12/2025,22/12/2025,17/12/2025,06/12/2025,29/11/2025,23/11/2025,16/11/2025,06/11/2025,01/11/2025,24/10/2025,15/10/2025,06/10/2025,30/09/2025,16/09/2025,06/09/2025,20/06/2025,18/05/2025,10/05/2025
W1,1580,2894,2670,2570,2334,2138,2908,2236,1568,2682,2276,1940,1500,1500,0,0,1500,2586,1550,2290,1740,2724,2370,1550,2642,2124,1550,3012,2810,2516,2404,2164,1900,1000
W2,1522,2656,2012,1730,3218,2824,2110,3130,2516,1618,2920,2290,1842,2390,2614,1956,2628,2166,2864,1842,2690,2206,1600,2230,2376,2890,1984,1630,1450,3200,3200,3490,1900,1000
W3,2208,1956,1732,2936,2658,2082,2880,2166,2950,2360,1646,2924,2304,2810,1900,2292,2096,1634,2584,1580,2386,1912,2852,2194,2960,2306,1536,2360,2070,2740,2504,2500,1900,1000
W4 ,2670,2502,2208,2026,3048,2838,2222,2782,2544,1982,2780,2346,1912,2490,2584,2170,2458,2140,2120,1600,0,0,0,3860,2230,2562,1788,2474,2278,1612,2714,2320,1900,1000
W5,1580,2488,2278,2236,2023,3006,2642,1580,2588,2038,3160,2430,1970,2516,2796,1956,2474,2012,2250,2584,1982,1680,2670,1676,2726,2236,1670,2520,2280,1670,1550,2642,1900,1000
W6,1704,1592,3034,2810,2640,2012,3004,2150,3136,2416,2150,1744,2514,1746,2152,1600,2250,2084,1814,2346,1860,3074,2404,1600,2432,1998,2790,2152,1858,2576,2342,2152,1900,1000
A9,0,2768,2362,1928,3034,2978,2264,3020,2586,2024,1730,2752,2134,2760,2580,1650,2210,1680,1550,1800,1800,1500,0,0,0,0,0,0,0,0,0,0,1900,1000
A8,2614,2376,1956,1690,3006,2530,1970,2810,2558,2022,1580,2458,1912,2420,2558,1648,2152,1560,2670,2794,2248,2934,2696,1550,2782,2320,2830,2104,1668,2628,2516,2348,1900,1000
A7,1998,1552,2717,2502,2502,1928,2852,2208,2922,2452,1828,2864,2340,2670,3010,2560,2124,2850,2500,2826,2528,2346,1500,0,4100,3208,2488,1970,2558,1928,1746,2610,1900,1000
A6,2096,1746,2754,2586,2376,1592,2754,2292,1886,2710,2078,2864,2374,1576,1580,2502,1660,2432,1660,1980,1500,1500,0,0,0,0,0,0,0,0,0,0,1900,1000
A5,1858,2796,2450,2236,1886,1576,2782,2194,1536,2640,2220,1560,2514,2138,1928,1578,2388,1886,2570,2838,2232,1780,3006,1858,1578,2754,1998,2740,2278,1564,2698,2040,1900,1000
